surface,slot,canonical_value,level,priority,category_hint,need_hint,gate_hint,is_protected,allow_nested,match_type,source,memo,use_typo,typo_threshold,use_embedding,embedding_text,embedding_threshold
고지혈증 약 부작용,hard_oos,고지혈증 약 부작용,1,9550,,질병정보탐색,oos,Y,N,contains,base_massive_v2,보험 의도 없는 건강/질병 정보 OOS,N,,N,고지혈증 약 부작용 고지혈증 약 부작용 질병정보탐색 보험 의도 없는 건강/질병 정보 OOS,
고혈압 낮추는 방법,hard_oos,고혈압 낮추는 방법,1,9550,,질병정보탐색,oos,Y,N,contains,base_massive_v2,보험 의도 없는 건강/질병 정보 OOS,N,,N,고혈압 낮추는 방법 고혈압 낮추는 방법 질병정보탐색 보험 의도 없는 건강/질병 정보 OOS,
난소낭종 증상,hard_oos,난소낭종 증상,1,9550,,질병정보탐색,oos,Y,N,contains,base_massive_v2,보험 의도 없는 건강/질병 정보 OOS,N,,N,난소낭종 증상 난소낭종 증상 질병정보탐색 보험 의도 없는 건강/질병 정보 OOS,
난임 정부지원,hard_oos,난임 정부지원,1,9550,,질병정보탐색,oos,Y,N,contains,base_massive_v2,보험 의도 없는 건강/질병 정보 OOS,N,,N,난임 정부지원 난임 정부지원 질병정보탐색 보험 의도 없는 건강/질병 정보 OOS,
난임 지원금,hard_oos,난임 지원금,1,9550,,질병정보탐색,oos,Y,N,contains,base_massive_v2,보험 의도 없는 건강/질병 정보 OOS,N,,N,난임 지원금 난임 지원금 질병정보탐색 보험 의도 없는 건강/질병 정보 OOS,
뇌졸중 전조증상,hard_oos,뇌졸중 전조증상,1,9550,,질병정보탐색,oos,Y,N,contains,base_massive_v2,보험 의도 없는 건강/질병 정보 OOS,N,,N,뇌졸중 전조증상 뇌졸중 전조증상 질병정보탐색 보험 의도 없는 건강/질병 정보 OOS,
당뇨 식단표,hard_oos,당뇨 식단표,1,9550,,질병정보탐색,oos,Y,N,contains,base_massive_v2,보험 의도 없는 건강/질병 정보 OOS,N,,N,당뇨 식단표 당뇨 식단표 질병정보탐색 보험 의도 없는 건강/질병 정보 OOS,
심근경색 전조증상,hard_oos,심근경색 전조증상,1,9550,,질병정보탐색,oos,Y,N,contains,base_massive_v2,보험 의도 없는 건강/질병 정보 OOS,N,,N,심근경색 전조증상 심근경색 전조증상 질병정보탐색 보험 의도 없는 건강/질병 정보 OOS,
암 병원 추천,hard_oos,암 병원 추천,1,9550,,질병정보탐색,oos,Y,N,contains,base_massive_v2,보험 의도 없는 건강/질병 정보 OOS,N,,N,암 병원 추천 암 병원 추천 질병정보탐색 보험 의도 없는 건강/질병 정보 OOS,
유방암 수술 병원,hard_oos,유방암 수술 병원,1,9550,,질병정보탐색,oos,Y,N,contains,base_massive_v2,보험 의도 없는 건강/질병 정보 OOS,N,,N,유방암 수술 병원 유방암 수술 병원 질병정보탐색 보험 의도 없는 건강/질병 정보 OOS,
정신건강 상담센터,hard_oos,정신건강 상담센터,1,9550,,질병정보탐색,oos,Y,N,contains,base_massive_v2,보험 의도 없는 건강/질병 정보 OOS,N,,N,정신건강 상담센터 정신건강 상담센터 질병정보탐색 보험 의도 없는 건강/질병 정보 OOS,
중입자 치료 병원,hard_oos,중입자 치료 병원,1,9550,,질병정보탐색,oos,Y,N,contains,base_massive_v2,보험 의도 없는 건강/질병 정보 OOS,N,,N,중입자 치료 병원 중입자 치료 병원 질병정보탐색 보험 의도 없는 건강/질병 정보 OOS,
중입자 치료 비용,hard_oos,중입자 치료 비용,1,9550,,질병정보탐색,oos,Y,N,contains,base_massive_v2,보험 의도 없는 건강/질병 정보 OOS,N,,N,중입자 치료 비용 중입자 치료 비용 질병정보탐색 보험 의도 없는 건강/질병 정보 OOS,
출산 지원금 신청,hard_oos,출산 지원금 신청,1,9550,,질병정보탐색,oos,Y,N,contains,base_massive_v2,보험 의도 없는 건강/질병 정보 OOS,N,,N,출산 지원금 신청 출산 지원금 신청 질병정보탐색 보험 의도 없는 건강/질병 정보 OOS,
카티 치료 병원,hard_oos,카티 치료 병원,1,9550,,질병정보탐색,oos,Y,N,contains,base_massive_v2,보험 의도 없는 건강/질병 정보 OOS,N,,N,카티 치료 병원 카티 치료 병원 질병정보탐색 보험 의도 없는 건강/질병 정보 OOS,
카티 치료 비용,hard_oos,카티 치료 비용,1,9550,,질병정보탐색,oos,Y,N,contains,base_massive_v2,보험 의도 없는 건강/질병 정보 OOS,N,,N,카티 치료 비용 카티 치료 비용 질병정보탐색 보험 의도 없는 건강/질병 정보 OOS,
표적항암 치료 비용,hard_oos,표적항암 치료 비용,1,9550,,질병정보탐색,oos,Y,N,contains,base_massive_v2,보험 의도 없는 건강/질병 정보 OOS,N,,N,표적항암 치료 비용 표적항암 치료 비용 질병정보탐색 보험 의도 없는 건강/질병 정보 OOS,
고지혈증 수치,hard_oos,고지혈증 수치,1,9500,,질병정보탐색,oos,Y,N,contains,base,보험 의도가 없는 건강정보/OOS,N,,N,고지혈증 수치 고지혈증 수치 질병정보탐색 보험 의도가 없는 건강정보/OOS,
고지혈증 약,hard_oos,고지혈증 약,1,9500,,질병정보탐색,oos,Y,N,contains,base_massive_v3,질병/건강정보 OOS,N,,N,,0.82
고혈압 낮추는 법,hard_oos,고혈압 낮추는 법,1,9500,,질병정보탐색,oos,Y,N,contains,base_massive_v3,질병/건강정보 OOS,N,,N,,0.82
고혈압 원인,hard_oos,고혈압 원인,1,9500,,질병정보탐색,oos,Y,N,contains,base,보험 의도가 없는 건강정보/OOS,N,,N,고혈압 원인 고혈압 원인 질병정보탐색 보험 의도가 없는 건강정보/OOS,
공황장애 증상,hard_oos,공황장애 증상,1,9500,,질병정보탐색,oos,Y,N,contains,base_massive_v3,질병/건강정보 OOS,N,,N,,0.82
난임 병원,hard_oos,난임 병원,1,9500,,질병정보탐색,oos,Y,N,contains,base_massive_v3,질병/건강정보 OOS,N,,N,,0.82
당뇨 수치,hard_oos,당뇨 수치,1,9500,,질병정보탐색,oos,Y,N,contains,base,보험 의도가 없는 건강정보/OOS,N,,N,당뇨 수치 당뇨 수치 질병정보탐색 보험 의도가 없는 건강정보/OOS,
